City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,cuencame,24.8711,-103.6964,83.41,14,100,20.89,MX,1680219417
240,lusambo,-4.9667,23.45,69.37,100,100,0.94,CD,1680219417
241,uarini,-2.99,-65.1083,75.74,95,87,2.82,BR,1680219418
242,atar,20.5169,-13.0499,86.83,11,98,6.91,MR,1680219418
243,pak phanang,8.3511,100.202,75.22,85,66,3.49,TH,1680219418
244,zmeinogorsk,51.1567,82.195,18.48,85,39,10.78,RU,1680219418
245,minab,27.1467,57.0801,66.52,82,1,0.0,IR,1680219419
246,dongsheng,39.8161,109.9776,48.33,33,100,18.79,CN,1680219419
247,el reno,35.5323,-97.955,64.58,91,100,29.93,US,1680219218
248,saint-francois,46.4154,3.9054,52.68,82,0,5.75,FR,1680219294
249,jhanjharpur,26.2667,86.2833,73.33,46,26,10.56,IN,1680219419
250,balabac,7.9868,117.0645,81.39,76,99,5.61,PH,1680219420
251,uruzgan,32.8333,66.0,50.02,80,100,1.5,AF,1680219420
252,trelew,-43.249,-65.3051,49.15,58,81,19.98,AR,1680219420
253,thompson,55.7435,-97.8558,19.56,42,20,10.36,CA,1680219794
254,bathsheba,13.2167,-59.5167,79.41,69,75,16.11,BB,1680219421
255,paptalaya,15.5,-84.3167,76.89,75,48,6.04,HN,1680219421
256,leningradskiy,69.3833,178.4167,4.93,87,17,7.96,RU,1680219421
257,palm city,27.1678,-80.2662,76.08,62,40,10.36,US,1680219421
258,bengkulu,-3.8004,102.2655,73.27,88,100,2.95,ID,1680219421
259,dwarka,22.2394,68.9678,75.25,75,0,11.23,IN,1680219422
260,san jose de sisa,-6.6167,-76.6915,73.92,98,98,2.66,PE,1680219422
261,riyadh,24.6877,46.7219,71.74,24,79,13.44,SA,1680219422
262,okato,-39.2,173.8833,65.17,69,73,13.0,NZ,1680219422
263,tomatlan,19.9333,-105.25,85.78,26,100,5.66,MX,1680219422
264,kozhva,65.1073,57.0459,30.83,85,100,16.44,RU,1680219423
265,lokosovo,61.1333,74.8167,1.22,99,8,3.67,RU,1680219423
266,xichang,27.8964,102.2634,54.68,77,72,2.46,CN,1680219423
267,esperance,-33.8667,121.9,62.71,71,21,12.21,AU,1680219922
268,at-bashi,41.1702,75.8106,29.82,77,79,2.04,KG,1680219423
269,den helder,52.9599,4.7593,50.95,93,75,17.0,NL,1680219359
270,kisangani,0.5167,25.2,68.49,100,100,2.21,CD,1680219424
271,gamba,-2.65,10.0,75.92,90,100,4.85,GA,1680219424
272,juneau,58.3019,-134.4197,41.41,83,100,17.27,US,1680219244
273,kawalu,-7.3817,108.2082,73.38,91,100,2.06,ID,1680219424
274,heishan,41.6892,122.1128,52.92,47,1,4.32,CN,1680219425
275,dudinka,69.4058,86.1778,-18.38,100,64,3.22,RU,1680219425
276,muros,42.7762,-9.0603,60.1,83,100,18.25,ES,1680219752
277,mzimba,-11.9,33.6,60.62,94,99,3.06,MW,1680219425
278,russell,32.3502,-85.1999,73.0,31,0,10.36,US,1680219425
279,mamakan,57.8161,114.0028,33.67,96,100,2.53,RU,1680219426
280,vorukh,39.8494,70.5838,51.64,51,99,4.94,TJ,1680219426
281,okhotsk,59.3833,143.3,26.6,91,100,9.13,RU,1680219426
282,hamilton,39.1834,-84.5333,60.75,32,0,13.8,US,1680219630
283,bubaque,11.2833,-15.8333,76.95,72,3,14.99,GW,1680219427
284,petropavlovsk-kamchatskiy,53.0452,158.6483,36.19,65,0,8.95,RU,1680219427
285,patacamaya,-17.2333,-67.9167,49.3,73,74,7.02,BO,1680219427
286,hobyo,5.3505,48.5268,80.87,77,25,7.34,SO,1680219427
287,ancud,-41.8697,-73.8203,47.25,74,94,5.21,CL,1680219924
288,buala,-8.145,159.5921,84.99,66,78,2.77,SB,1680219428
289,college,64.8569,-147.8028,35.1,55,75,3.44,US,1680219428
290,asosa,10.0667,34.5333,69.03,13,42,4.74,ET,1680219428
291,cherskiy,68.75,161.3,16.57,86,99,10.33,RU,1680219924
292,bassila,9.0081,1.6654,81.97,44,94,4.68,BJ,1680219429
293,ilulissat,69.2167,-51.1,-0.38,78,3,4.61,GL,1680219925
294,zhigansk,66.7697,123.3711,-1.23,81,98,19.48,RU,1680219429
295,barranca de upia,4.5696,-72.9668,82.54,54,99,3.4,CO,1680219429
296,ypsonas,34.6884,32.9574,49.28,61,5,2.3,CY,1680219430
297,aubel,50.7019,5.8581,51.33,95,72,16.62,BE,1680219430
298,buchanan,5.8808,-10.0467,78.67,88,36,4.81,LR,1680219430
299,kodiak,57.79,-152.4072,38.71,70,100,11.5,US,1680219925
300,mokhsogollokh,61.4681,128.9203,24.24,83,100,7.78,RU,1680219431
301,north ridgeville,41.3895,-82.019,48.49,64,0,11.5,US,1680219300
302,cidreira,-30.1811,-50.2056,73.63,80,90,4.76,BR,1680219431
303,tumpat,6.1978,102.171,75.18,94,20,0.0,MY,1680219432
304,sijunjung,-0.6876,100.9537,71.64,94,97,2.06,ID,1680219432
305,avanigadda,16.0215,80.9181,78.42,78,59,8.7,IN,1680219432
306,vanimo,-2.6741,141.3028,84.29,67,99,2.42,PG,1680219432
307,deputatskiy,69.3,139.9,-5.78,96,100,3.85,RU,1680219432
308,yandyki,45.7691,47.1258,39.06,49,100,15.19,RU,1680219433
309,ocos,14.5094,-92.1933,87.98,63,5,6.08,GT,1680219433
310,inirida,3.8653,-67.9239,77.95,83,75,1.79,CO,1680219433
311,san carlos de bariloche,-41.1456,-71.3082,44.35,42,20,8.05,AR,1680219368
312,kouango,4.9934,19.9619,71.83,90,100,2.17,CF,1680219434
313,porto franco,-6.3383,-47.3992,75.09,92,74,1.79,BR,1680219434
314,narrabri,-30.3167,149.7833,65.52,62,99,1.99,AU,1680219434
315,bereznik,62.8551,42.7072,29.34,97,100,5.35,RU,1680219435
316,abu dhabi,24.4667,54.3667,75.94,70,0,0.0,AE,1680219321
317,oranjemund,-28.55,16.4333,59.7,92,6,14.2,NA,1680219297
318,chapais,49.7834,-74.8492,19.18,94,99,2.95,CA,1680219435
319,qaqortoq,60.7167,-46.0333,19.04,79,1,5.32,GL,1680219435
320,egvekinot,66.3167,-179.1667,12.87,83,56,2.04,RU,1680219436
321,vardo,70.3705,31.1107,19.38,86,100,11.5,NO,1680219928
322,karlskoga,59.3267,14.5239,29.52,95,100,8.97,SE,1680219436
323,tabuk,17.4189,121.4443,79.07,87,54,2.08,PH,1680219436
324,tuktoyaktuk,69.4541,-133.0374,3.2,72,0,18.41,CA,1680219928
325,eureka,40.8021,-124.1637,58.75,68,17,3.0,US,1680219437
326,luebo,-5.35,21.4167,68.85,100,100,1.25,CD,1680219437
327,isiolo,0.3546,37.5822,70.48,70,77,4.32,KE,1680219437
328,wattegama,6.7989,81.4808,72.27,86,11,3.22,LK,1680219437
329,matara,5.9485,80.5353,75.4,91,10,3.02,LK,1680219437
330,salalah,17.0151,54.0924,77.09,65,0,4.61,OM,1680219438
